kid,billable_serv_id,service_addr,type,rate_code,bill_date,consumpsum
108148,103924,464 CADDER AVE KELOWNA,W,555,2013-01-26,394
108151,104575,578 CAWSTON AVE  MAIN KELOWNA,W,555,2013-01-26,203
108163,104577,582 CAWSTON AVE KELOWNA,W,555,2013-01-26,219
108175,104579,586 CAWSTON AVE KELOWNA,W,555,2013-01-26,134
108187,104581,590 CAWSTON AVE KELOWNA,W,555,2013-01-26,241
108199,104583,594 CAWSTON AVE KELOWNA,W,555,2013-01-26,429
108213,104589,612 CAWSTON AVE KELOWNA,W,555,2013-01-26,103
108225,104585,604 CAWSTON AVE KELOWNA,W,555,2013-01-26,792
108237,104587,608 CAWSTON AVE KELOWNA,W,555,2013-01-26,92
108252,101320,845 BAY AVE  MAIN KELOWNA,W,555,2013-01-16,245
108264,101317,835 BAY AVE  MAIN KELOWNA,W,555,2013-01-16,455
108290,104626,796 CAWSTON AVE KELOWNA,W,555,2013-01-16,562
108302,104624,788 CAWSTON AVE KELOWNA,W,555,2013-01-16,178
108314,104622,776 CAWSTON AVE KELOWNA,W,555,2013-01-16,217
